Sample_Name,Seq_ID
D12.fastq.gz,PN6_SID528.fastq.gz
E01.fastq.gz,PN6_SID529.fastq.gz
E02.fastq.gz,PN6_SID530.fastq.gz
E03.fastq.gz,PN6_SID531.fastq.gz
E04.fastq.gz,PN6_SID532.fastq.gz
E05.fastq.gz,PN6_SID533.fastq.gz
E06.fastq.gz,PN6_SID534.fastq.gz
E07.fastq.gz,PN6_SID535.fastq.gz
E08.fastq.gz,PN6_SID536.fastq.gz
E09.fastq.gz,PN6_SID537.fastq.gz
E10.fastq.gz,PN6_SID538.fastq.gz
E11.fastq.gz,PN6_SID539.fastq.gz
E12.fastq.gz,PN6_SID540.fastq.gz
F01.fastq.gz,PN6_SID541.fastq.gz
F02.fastq.gz,PN6_SID542.fastq.gz
F03.fastq.gz,PN6_SID543.fastq.gz
F04.fastq.gz,PN6_SID544.fastq.gz
F05.fastq.gz,PN6_SID545.fastq.gz
F06.fastq.gz,PN6_SID546.fastq.gz
F07.fastq.gz,PN6_SID547.fastq.gz
F08.fastq.gz,PN6_SID548.fastq.gz
F09.fastq.gz,PN6_SID549.fastq.gz
F10.fastq.gz,PN6_SID550.fastq.gz
F11.fastq.gz,PN6_SID551.fastq.gz
F12.fastq.gz,PN6_SID552.fastq.gz
G01.fastq.gz,PN6_SID553.fastq.gz
G02.fastq.gz,PN6_SID554.fastq.gz
G03.fastq.gz,PN6_SID555.fastq.gz
G04.fastq.gz,PN6_SID556.fastq.gz
